試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-14,1,,北川海育,4,■,■,■,■,,20,11,1,0.55,0.5,2.75,0,0,0,-,1,0.25,10,0,2,2,0.0,0,0,0,-
2019-12-14,2,,大西真咲,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,3,,磯部成里,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,4,,長谷川侑南,4,■,■,■,■,,2,0,0,0.0,0.0,-,1,0,0,0.0,0,-,24,0,0,7,7.3,1,0,0,0.0
2019-12-14,8,,吉本梓穂,2,□,□,,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,1,0,-8.3,2,0,2,50.0
2019-12-14,9,,佐藤愛美,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,10,,山内佑里子,4,■,■,■,■,,30,7,0,0.23333333333333334,0.23333333333333334,1.75,0,0,0,-,7,1.75,11,0,2,1,-2.3,23,14,5,71.7
2019-12-14,11,,中田唯香,4,■,■,■,■,,31,14,1,0.45161290322580644,0.41935483870967744,3.50,2,1,1,50.0,2,0.50,16,1,0,3,10.9,13,8,2,69.2
2019-12-14,13,,伊藤愛華,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2019-12-14,14,,西田智美,4,■,■,■,■,,16,5,0,0.3125,0.3125,1.25,0,0,0,-,1,0.25,12,1,0,1,10.4,1,0,0,0.0
2019-12-14,15,,斉藤有香,4,■,■,■,■,,46,13,3,0.2826086956521739,0.21739130434782608,3.25,2,0,1,0.0,3,0.75,18,0,3,4,1.4,12,6,3,62.5
2019-12-14,16,,三井梨愛,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,17,L,土岡真央,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,25,10,5,50.0
2019-12-14,チーム合計,チーム合計,チーム合計,4,,,,,,146,50,5,0.3424657534246575,0.3082191780821918,12.50,5,1,2,20.0,14,3.50,95,2,9,18,4.5,77,38,17,60.4
