試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,1,,市川智之,3,■,■,■,nan,nan,17,11,0,64.7,64.7,3.67,0,0,0,-,1,0.33,8,0,0,1,3.1,0,0,0,-,12
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,4,,小林哲也,3,■,■,■,nan,nan,20,10,1,50.0,45.0,3.33,7,3,1,42.9,1,0.33,11,2,4,3,25.0,0,0,0,-,13
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,5,L,峰尾拓,2,●,●,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,8,0,88.9,0
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,6,,峯村幸太,3,■,■,■,nan,nan,13,4,2,30.8,15.4,1.33,4,1,1,25.0,0,-,16,1,2,8,17.5,3,1,0,33.3,5
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,7,,栗木勇,3,■,■,■,nan,nan,18,10,0,55.6,55.6,3.33,0,0,0,-,5,1.67,12,2,3,4,23.3,16,7,0,43.8,17
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,9,,小池和貴,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,11,,片桐成基,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,12,L,藤森圭,1,nan,nan,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,4,0,66.7,0
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,14,,杉山奨弥,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,16,,森崎健史,3,■,■,■,nan,nan,8,5,0,62.5,62.5,1.67,0,0,0,-,0,-,10,0,2,4,10.0,0,0,0,-,5
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,19,,村松俊輔,2,nan,□,□,nan,nan,1,1,0,100.0,100.0,0.50,0,0,0,-,0,-,2,0,1,1,12.5,0,0,0,-,1
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,20,,多田将希,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,10,0,0,2,5.0,1,0,0,0.0,0
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,25,,中谷光,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,26,,池田浩基,2,□,nan,□,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,2,1,0,0,50.0,3,1,0,33.3,1
2016-02-06,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,80,41,3,51.2,47.5,13.67,11,4,2,36.4,7,2.33,73,6,12,23,15.5,38,21,0,55.3,54
