試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-01-16,奈良ドリーマーズ,1,,渡邊徹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-16,奈良ドリーマーズ,2,,言上真一,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-16,奈良ドリーマーズ,4,,下町浩二,3,nan,nan,□,■,■,3,2,0,66.7,66.7,0.67,0,0,0,-,1,0.33,5,0,0,0,0.0,2,1,1,75.0,,,,,,,,
2021-01-16,奈良ドリーマーズ,6,,中山雄介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-16,奈良ドリーマーズ,7,,有津翔太,5,■,■,■,■,■,13,7,0,53.8,53.8,1.40,0,0,0,-,2,0.40,18,1,1,7,13.9,1,0,1,50.0,,,,,,,,
2021-01-16,奈良ドリーマーズ,9,,高橋和希,5,■,■,■,■,■,1,1,0,100.0,100.0,0.20,0,0,0,-,2,0.40,15,1,1,1,6.7,0,0,0,-,,,,,,,,
2021-01-16,奈良ドリーマーズ,12,,川村幸司,5,■,■,■,■,■,32,17,1,53.1,50.0,3.40,2,1,0,50.0,1,0.20,23,1,2,6,8.7,26,5,15,48.1,,,,,,,,
2021-01-16,奈良ドリーマーズ,14,L,杉谷祐磨,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-16,奈良ドリーマーズ,15,,上竣,5,■,■,■,■,■,42,19,3,45.2,38.1,3.80,14,7,1,50.0,2,0.40,15,0,6,2,-6.7,0,0,0,-,,,,,,,,
2021-01-16,奈良ドリーマーズ,16,,片野坂拓人,5,■,■,■,■,■,42,24,3,57.1,50.0,4.80,4,2,0,50.0,1,0.20,17,1,5,5,5.9,28,8,11,48.2,,,,,,,,
2021-01-16,奈良ドリーマーズ,17,,碩幸輝,4,■,■,■,□,nan,7,2,0,28.6,28.6,0.50,0,0,0,-,0,-,14,0,2,1,-1.8,0,0,0,-,,,,,,,,
2021-01-16,奈良ドリーマーズ,18,,南本大貴,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-16,奈良ドリーマーズ,19,L,石渡瑛法,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,32,9,17,54.7,,,,,,,,
2021-01-16,奈良ドリーマーズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,140,72,7,51.4,46.4,14.40,20,10,1,50.0,9,1.80,107,4,17,22,4.9,89,23,45,51.1,130,55,12,42.3,9,1.80,6.0,54.5
