試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-14,トヨタモビリティ東京スパークル,1,,岩阪健太郎,3,■,■,■,nan,nan,10,3,1,0.3,0.2,1.00,0,0,0,-,3,1.00,4,0,1,0,-6.2,0,0,0,-
2019-12-14,トヨタモビリティ東京スパークル,2,,為我井太也,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,9,0,2,1,-2.8,0,0,0,-
2019-12-14,トヨタモビリティ東京スパークル,4,,西河孝太,2,nan,■,■,nan,nan,12,7,0,0.5833333333333334,0.5833333333333334,3.50,1,1,0,100.0,1,0.50,9,0,1,2,2.8,9,2,3,38.9
2019-12-14,トヨタモビリティ東京スパークル,5,L,峰尾拓,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,23,10,6,56.5
2019-12-14,トヨタモビリティ東京スパークル,6,,大貫智博,1,■,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-14,トヨタモビリティ東京スパークル,7,,石井琢也,3,■,■,■,nan,nan,23,5,3,0.21739130434782608,0.08695652173913043,1.67,3,0,2,0.0,0,-,5,0,0,0,0.0,5,2,0,40.0
2019-12-14,トヨタモビリティ東京スパークル,8,,西片圭佑,3,■,□,□,nan,nan,7,2,2,0.2857142857142857,0.0,0.67,4,0,2,0.0,0,-,6,1,1,1,16.7,0,0,0,-
2019-12-14,トヨタモビリティ東京スパークル,13,,田中湧朔,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,1,1,0.0,0,0,0,-
2019-12-14,トヨタモビリティ東京スパークル,14,,岸海斗,3,□,■,■,nan,nan,7,3,1,0.42857142857142855,0.2857142857142857,1.00,0,0,0,-,3,1.00,11,2,2,2,18.2,0,0,0,-
2019-12-14,トヨタモビリティ東京スパークル,15,,新山駿,3,■,■,■,nan,nan,29,12,2,0.41379310344827586,0.3448275862068966,4.00,3,1,0,33.3,0,-,12,1,2,3,10.4,23,14,4,69.6
2019-12-14,トヨタモビリティ東京スパークル,21,,伊藤優介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,トヨタモビリティ東京スパークル,22,,松枝寿明,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,トヨタモビリティ東京スパークル,28,,槌尾健,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2019-12-14,トヨタモビリティ東京スパークル,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,89,32,9,0.3595505617977528,0.25842696629213485,10.67,11,2,4,18.2,7,2.33,64,4,10,10,6.2,60,28,13,57.5
