試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-23,6,,大貫智博,2,,□,■,,,2,1,1,0.5,0.0,0.50,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-
2019-11-24,6,,大貫智博,4,□,,□,□,■,1,1,0,1.0,1.0,0.25,0,0,0,-,2,0.50,4,0,0,1,6.2,0,0,0,-
2019-12-07,6,,大貫智博,5,■,■,□,■,■,11,2,1,0.18181818181818185,0.09090909090909093,0.40,0,0,0,-,1,0.20,25,1,0,6,10.0,0,0,0,-
2019-12-08,6,,大貫智博,5,■,■,■,■,■,6,4,0,0.6666666666666666,0.6666666666666666,0.80,0,0,0,-,2,0.40,20,0,1,5,5.0,0,0,0,-
2019-12-14,6,,大貫智博,1,■,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-15,6,,大貫智博,4,■,■,■,■,,12,1,0,0.08333333333333333,0.08333333333333333,0.25,0,0,0,-,2,0.50,20,0,1,1,0.0,0,0,0,-
2020-01-11,6,,大貫智博,2,■,■,,,,6,1,0,0.16666666666666666,0.16666666666666666,0.50,0,0,0,-,1,0.50,4,0,0,1,6.2,1,0,1,50.0
2020-01-12,6,,大貫智博,2,,□,,,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-19,6,,大貫智博,1,■,,,,,4,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0,0,-
2020-02-01,6,,大貫智博,3,■,■,■,,,8,2,0,0.25,0.25,0.67,0,0,0,-,1,0.33,4,0,1,1,0.0,0,0,0,-
2020-02-02,6,,大貫智博,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-08,6,,大貫智博,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-09,6,,大貫智博,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-15,6,,大貫智博,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-16,6,,大貫智博,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
