試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,2,,白川佑樹,2,nan,□,■,nan,nan,11,3,2,27.3,9.1,1.50,6,1,1,16.7,0,-,6,0,1,3,12.5,0,0,0,-,3
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,3,,原田将志,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,1,0,0,40.0,0,0,0,-,1
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,4,,川合翔太,2,■,■,nan,nan,nan,15,4,2,26.7,13.3,2.00,3,2,0,66.7,3,1.50,6,0,2,1,4.2,0,0,0,-,7
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,5,,納庄皓仁,3,■,■,■,nan,nan,14,9,0,64.3,64.3,3.00,0,0,0,-,2,0.67,8,0,0,4,12.5,0,0,0,-,11
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,7,,田中寛人,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,8,,今村雄登,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,11,1,0,6,22.7,0,0,0,-,1
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,9,,竹永大樹,3,■,■,■,nan,nan,20,8,2,40.0,30.0,2.67,3,1,0,33.3,0,-,14,0,1,5,8.9,7,3,0,42.9,8
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,10,,奥長勝之,3,■,■,■,nan,nan,18,11,1,61.1,55.6,3.67,1,1,0,100.0,1,0.33,15,1,1,9,20.3,25,15,0,60.0,13
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,11,L,野里正幸,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,14,L,田渕慎一郎,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,11,0,78.6,0
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,15,,吉田政俊,3,■,■,■,nan,nan,2,1,0,50.0,50.0,0.33,0,0,0,-,2,0.67,11,0,3,3,6.8,0,0,0,-,3
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,16,,村田峻一,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,18,,片ノ坂亮太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,20,,石原貢,1,nan,nan,□,nan,nan,4,1,0,25.0,25.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2016-01-16,兵庫デルフィーノ,千葉ZELVA,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,84,37,7,44.0,35.7,12.33,13,5,1,38.5,8,2.67,74,3,8,31,14.0,46,29,0,63.0,48
