試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,2,,篠田学,3,■,■,■,nan,nan,15,5,0,33.3,33.3,1.67,0,0,0,-,0,-,12,0,0,0,0.0,11,7,0,63.6,5
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,3,,藤原裕和,2,nan,■,■,nan,nan,10,6,0,60.0,60.0,3.00,0,0,0,-,2,1.00,7,0,0,5,17.9,0,0,0,-,8
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,6,L,古家康隆,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,10,,吉岡佳徳,3,■,■,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.33,5,0,0,3,15.0,1,0,0,0.0,1
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,12,,大町和幸,3,■,■,■,nan,nan,22,8,0,36.4,36.4,2.67,2,0,0,0.0,0,-,13,0,2,3,5.8,14,9,0,64.3,8
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,13,,中野壮一朗,1,■,nan,nan,nan,nan,3,3,0,100.0,100.0,3.00,0,0,0,-,1,1.00,2,0,1,1,12.5,1,0,0,0.0,4
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,17,,浅野晶,3,■,■,■,nan,nan,18,8,1,44.4,38.9,2.67,2,1,0,50.0,4,1.33,11,1,4,2,13.6,7,6,0,85.7,13
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,18,,上田日登,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,1,1,6.2,0,0,0,-,0
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,21,L,冷水亮,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,12,0,92.3,0
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,25,,石田将太,3,■,■,■,nan,nan,15,8,3,53.3,33.3,2.67,0,0,0,-,4,1.33,9,0,3,3,8.3,1,0,0,0.0,12
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,28,,関根翔太,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,29,,大井手脩輔,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,0,1,25.0,2,1,0,50.0,1
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,33,,渡辺大亮,3,□,□,■,nan,nan,3,2,0,66.7,66.7,0.67,0,0,0,-,1,0.33,5,0,1,3,15.0,0,0,0,-,3
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,35,,松元翔太郎,1,nan,nan,□,nan,nan,4,1,0,25.0,25.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2016-01-11,千葉ZELVA,奈良ドリーマーズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,91,41,4,45.1,40.7,13.67,4,1,0,25.0,13,4.33,74,2,13,22,10.1,50,35,0,70.0,56
