試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-15,奈良ドリーマーズ,1,,渡邊徹,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-15,奈良ドリーマーズ,2,,言上真一,2,nan,nan,□,□,nan,2,1,0,0.5,0.5,0.50,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-
2019-12-15,奈良ドリーマーズ,3,,壇上正健,4,■,■,■,■,nan,29,10,3,0.3448275862068966,0.2413793103448276,2.50,6,4,0,66.7,3,0.75,12,0,0,6,12.5,1,0,0,0.0
2019-12-15,奈良ドリーマーズ,4,,下町浩二,4,■,■,■,■,nan,15,5,1,0.3333333333333333,0.26666666666666666,1.25,0,0,0,-,1,0.25,13,0,0,3,5.8,0,0,0,-
2019-12-15,奈良ドリーマーズ,5,L,小寺秀哉,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-15,奈良ドリーマーズ,7,,有津翔太,4,■,■,■,■,nan,10,6,0,0.6,0.6,1.50,1,1,0,100.0,4,1.00,18,0,2,4,2.8,0,0,0,-
2019-12-15,奈良ドリーマーズ,9,,高橋和希,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,13,0,2,1,-1.9,1,0,1,50.0
2019-12-15,奈良ドリーマーズ,11,,後藤和志,1,nan,□,nan,nan,nan,1,1,0,1.0,1.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-15,奈良ドリーマーズ,12,,川村幸司,4,■,■,■,■,nan,36,13,5,0.3611111111111111,0.2222222222222222,3.25,1,0,1,0.0,2,0.50,6,0,0,0,0.0,21,4,13,50.0
2019-12-15,奈良ドリーマーズ,14,,杉谷祐磨,2,nan,□,nan,□,nan,5,3,0,0.6,0.6,1.50,0,0,0,-,0,-,6,1,0,2,25.0,7,4,2,71.4
2019-12-15,奈良ドリーマーズ,15,,上竣,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-15,奈良ドリーマーズ,16,,片野坂拓人,4,■,■,■,■,nan,29,14,4,0.4827586206896552,0.3448275862068966,3.50,5,0,2,0.0,0,-,26,4,0,14,28.8,15,4,9,56.7
2019-12-15,奈良ドリーマーズ,18,,南本大貴,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-15,奈良ドリーマーズ,19,L,石渡瑛法,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,5,7,53.1
2019-12-15,奈良ドリーマーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,127,53,13,0.41732283464566927,0.31496062992125984,13.25,13,5,3,38.5,10,2.50,98,5,5,31,11.7,61,17,32,54.1
