試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-23,7,,有津翔太,5,■,■,■,■,■,25,13,3,0.52,0.4,2.60,0,0,0,-,1,0.20,16,0,2,2,0.0,0,0,0,-
2019-11-24,7,,有津翔太,5,■,■,■,■,■,25,16,2,0.64,0.56,3.20,1,0,0,0.0,4,0.80,14,2,2,4,17.9,1,0,1,50.0
2019-12-07,7,,有津翔太,4,■,■,■,■,,21,12,1,0.5714285714285714,0.5238095238095238,3.00,1,1,0,100.0,3,0.75,13,2,2,6,23.1,1,0,0,0.0
2019-12-08,7,,有津翔太,3,■,■,■,,,15,9,0,0.6,0.6,3.00,2,0,0,0.0,1,0.33,16,1,2,4,9.4,0,0,0,-
2019-12-14,7,,有津翔太,3,■,■,■,,,18,9,0,0.5,0.5,3.00,0,0,0,-,2,0.67,10,0,1,3,5.0,0,0,0,-
2019-12-15,7,,有津翔太,4,■,■,■,■,,10,6,0,0.6,0.6,1.50,1,1,0,100.0,4,1.00,18,0,2,4,2.8,0,0,0,-
2020-01-04,7,,有津翔太,4,■,■,■,■,,24,7,4,0.2916666666666667,0.125,1.75,1,0,1,0.0,4,1.00,12,0,1,6,10.4,1,0,1,50.0
2020-01-05,7,,有津翔太,4,■,■,■,■,,14,4,2,0.2857142857142857,0.14285714285714285,1.00,0,0,0,-,3,0.75,10,0,2,2,0.0,0,0,0,-
2020-01-11,7,,有津翔太,4,■,■,■,■,,20,6,1,0.3,0.25,1.50,1,0,0,0.0,0,-,13,1,0,6,19.2,0,0,0,-
2020-01-12,7,,有津翔太,4,■,■,■,■,,15,8,0,0.5333333333333333,0.5333333333333333,2.00,4,1,0,25.0,4,1.00,17,3,1,5,23.5,0,0,0,-
2020-02-01,7,,有津翔太,4,■,■,■,■,,22,13,1,0.5909090909090909,0.5454545454545454,3.25,1,1,0,100.0,2,0.50,13,0,2,4,3.8,0,0,0,-
2020-02-02,7,,有津翔太,5,■,■,■,■,■,23,15,2,0.6521739130434783,0.5652173913043478,3.00,1,1,0,100.0,0,-,13,0,1,1,0.0,0,0,0,-
2020-02-09,7,,有津翔太,5,■,■,■,■,■,28,15,0,0.5357142857142857,0.5357142857142857,3.00,3,0,0,0.0,0,-,17,0,1,6,7.4,0,0,0,-
2020-02-15,7,,有津翔太,5,■,■,■,■,■,22,11,0,0.5,0.5,2.20,0,0,0,-,5,1.00,12,0,1,3,4.2,0,0,0,-
2020-02-16,7,,有津翔太,4,■,■,■,■,,22,14,2,0.6363636363636364,0.5454545454545454,3.50,0,0,0,-,3,0.75,16,1,2,3,7.8,0,0,0,-
