試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,1,,伊藤優介,3,□,□,■,nan,nan,2,1,0,50.0,50.0,0.33,0,0,0,-,1,0.33,5,0,1,1,5.0,0,0,0,-,2
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,2,,早川紘司,3,■,■,■,nan,nan,9,2,2,22.2,0.0,0.67,0,0,0,-,0,-,15,1,0,7,18.3,21,11,0,52.4,3
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,6,,大貫智博,3,■,■,■,nan,nan,9,4,0,44.4,44.4,1.33,0,0,0,-,1,0.33,9,0,2,0,0.0,0,0,0,-,5
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,7,,新妻知之,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,8,,西片圭佑,3,■,■,■,nan,nan,28,14,1,50.0,46.4,4.67,10,4,1,40.0,0,-,9,0,2,4,11.1,1,1,0,100.0,14
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,9,L,大澤満,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,7,0,53.8,0
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,12,,橋本淳,3,■,■,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,3,1.00,4,1,0,0,25.0,0,0,0,-,4
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,13,,小関和樹,3,■,■,■,nan,nan,3,1,0,33.3,33.3,0.33,0,0,0,-,0,-,12,0,3,5,10.4,1,0,0,0.0,1
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,16,,松本敬三,3,■,■,■,nan,nan,28,5,4,17.9,3.6,1.67,3,0,1,0.0,1,0.33,8,0,1,4,12.5,21,12,0,57.1,6
2016-01-23,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,0,3,0,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,80,27,7,33.8,25.0,9.00,13,4,2,30.8,6,2.00,62,2,9,21,11.7,57,31,0,54.4,35
