試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-23,1,,山本映樹,3,■,■,■,,,10,5,0,0.5,0.5,1.67,0,0,0,-,2,0.67,12,0,1,2,2.1,0,0,0,-
2019-11-23,3,,河戸俊亮,3,■,■,■,,,7,3,1,0.42857142857142855,0.2857142857142857,1.00,0,0,0,-,1,0.33,4,0,0,1,6.2,0,0,0,-
2019-11-23,4,,北村將,3,■,■,■,,,29,14,2,0.4827586206896552,0.41379310344827586,4.67,0,0,0,-,2,0.67,10,0,0,2,5.0,33,18,7,65.2
2019-11-23,8,,中谷芹,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,11,,本多駿,3,■,■,■,,,34,17,5,0.5,0.35294117647058826,5.67,6,3,2,50.0,1,0.33,17,0,2,2,0.0,2,0,2,50.0
2019-11-23,12,,中田雄大,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,12,0,2,0,-4.2,0,0,0,-
2019-11-23,13,,那須野裕進,3,■,■,■,,,9,4,0,0.4444444444444444,0.4444444444444444,1.33,0,0,0,-,2,0.67,11,0,0,4,9.1,0,0,0,-
2019-11-23,15,,久門伸司,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,1,-,1,0,0,0.0
2019-11-23,16,L,大原悠,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,12,4,63.6
2019-11-23,17,,帖佐力弥,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2019-11-23,23,,井上尚人,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,27,,吉良悠飛,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,4,0,1,1,0.0,0,0,0,-
2019-11-23,チーム合計,チーム合計,チーム合計,3,,,,,,89,43,8,0.48314606741573035,0.39325842696629215,14.33,6,3,2,50.0,8,2.67,73,0,6,13,2.4,58,30,13,62.9
