名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三好紗弥香,群馬銀行グリーンウイングス,11,38,135,36,8,26.7,20.7,0,0,0,2,104,7,6,32,133,45,38,,0.95,0.05,13.0,48.1
三浦あゆみ,GSS東京サンビームズ,8,41,1,0,0,0.0,0.0,1,0,0,0,0,0,0,0,121,51,23,0.0,0.0,0.0,,51.7
三澤未憂,プレステージ・インターナショナルアランマーレ,10,29,13,0,1,0.0,-7.7,0,0,0,1,36,1,2,19,45,21,8,,0.0,0.03,14.6,55.6
不破沙耶佳,大阪スーペリアーズ,15,48,437,127,44,29.1,19.0,24,4,4,7,156,20,9,42,209,73,46,16.7,2.65,0.15,18.1,45.9
中田香澄,プレステージ・インターナショナルアランマーレ,5,29,84,26,1,31.0,29.8,0,0,0,0,33,3,2,7,11,4,3,,0.9,0.0,12.9,50.0
中西萌恵,大阪スーペリアーズ,4,6,33,12,2,36.4,30.3,0,0,0,1,21,0,1,7,1,1,0,,2.0,0.17,7.1,100.0
丸山佳穂,群馬銀行グリーンウイングス,9,20,0,0,0,,,0,0,0,0,31,1,1,8,0,0,0,,0.0,0.0,8.9,
丹野瑞希,プレステージ・インターナショナルアランマーレ,14,39,304,90,16,29.6,24.3,1,0,0,4,102,3,4,32,17,3,6,0.0,2.31,0.1,9.8,35.3
佐藤円,プレステージ・インターナショナルアランマーレ,3,60,0,0,0,,,0,0,0,0,0,0,0,0,206,79,60,,0.0,0.0,,52.9
佐藤梨夏,プレステージ・インターナショナルアランマーレ,12,5,0,0,0,,,0,0,0,0,5,0,2,2,0,0,0,,0.0,0.0,0.0,
入江彩水,大阪スーペリアーズ,22,6,4,0,0,0.0,0.0,0,0,0,1,7,1,1,0,0,0,0,,0.0,0.17,10.7,
加藤彩夏,ブレス浜松,11,54,322,85,18,26.4,20.8,1,0,0,11,133,3,3,26,221,86,44,0.0,1.57,0.2,6.6,48.9
勝見咲子,GSS東京サンビームズ,29,47,419,129,34,30.8,22.7,24,4,3,5,149,11,9,62,96,24,24,16.7,2.74,0.11,16.3,37.5
南涼音,大阪スーペリアーズ,17,13,0,0,0,,,0,0,0,0,0,0,0,0,76,30,12,,0.0,0.0,,47.4
原まなみ,大阪スーペリアーズ,1,20,1,0,0,0.0,0.0,0,0,0,0,55,2,1,15,1,0,0,,0.0,0.0,10.0,0.0
原田美愛実,柏エンゼルクロス,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
原田茉由,大阪スーペリアーズ,13,33,109,27,10,24.8,15.6,0,0,0,0,71,3,5,27,198,62,56,,0.82,0.0,12.0,45.5
古市彩音,群馬銀行グリーンウイングス,15,20,21,9,2,42.9,33.3,1,0,0,2,46,0,0,10,0,0,0,0.0,0.45,0.1,5.4,
名原寧音,柏エンゼルクロス,16,12,2,0,0,0.0,0.0,0,0,0,1,24,2,1,7,0,0,0,,0.0,0.08,14.6,
和田法子,ブレス浜松,9,9,24,10,1,41.7,37.5,0,0,0,1,6,1,1,0,4,3,0,,1.11,0.11,12.5,75.0
土屋智菜実,群馬銀行グリーンウイングス,12,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
坂根朱里,大阪スーペリアーズ,8,46,355,94,33,26.5,17.2,41,10,5,7,136,5,15,45,23,9,4,24.4,2.04,0.15,9.2,47.8
城野真衣,柏エンゼルクロス,2,8,58,20,6,34.5,24.1,0,0,0,0,24,4,3,6,39,14,13,,2.5,0.0,19.8,52.6
堀部ジェニファー,GSS東京サンビームズ,13,9,0,0,0,,,0,0,0,0,4,0,0,0,20,11,2,,0.0,0.0,0.0,60.0
多田遥,ブレス浜松,10,56,666,241,45,36.2,29.4,92,21,10,13,197,10,9,65,192,60,47,22.8,4.3,0.23,12.2,43.5
大原萌,GSS東京サンビームズ,19,12,0,0,0,,,0,0,0,0,0,0,0,0,31,15,5,,0.0,0.0,,56.5
安福若菜,群馬銀行グリーンウイングス,16,9,14,7,1,50.0,42.9,0,0,0,4,15,0,1,3,1,1,0,,0.78,0.44,3.3,100.0
寺坂茜,群馬銀行グリーンウイングス,7,59,498,179,29,35.9,30.1,11,1,1,14,149,7,21,24,2,0,0,9.1,3.03,0.24,5.2,0.0
寺田遥,大阪スーペリアーズ,5,5,0,0,0,,,0,0,0,0,0,0,0,0,17,7,3,,0.0,0.0,,50.0
小松沙季,ブレス浜松,15,31,44,8,3,18.2,11.4,0,0,0,0,46,2,3,13,50,20,16,,0.26,0.0,9.8,56.0
小林愛里,群馬銀行グリーンウイングス,4,15,109,27,10,24.8,15.6,1,0,0,1,40,4,1,19,86,25,18,0.0,1.8,0.07,21.2,39.5
小清水茉弥,柏エンゼルクロス,17,54,315,116,15,36.8,32.1,2,0,0,18,228,16,16,65,2,2,0,0.0,2.15,0.33,12.4,100.0
山本直美,柏エンゼルクロス,3,14,142,34,9,23.9,17.6,1,0,0,3,51,4,0,11,41,17,6,0.0,2.43,0.21,13.2,48.8
山本紗良,大阪スーペリアーズ,7,48,353,97,24,27.5,20.7,2,0,1,22,129,10,13,43,8,2,2,0.0,2.02,0.46,13.6,37.5
岩本梨音,大阪スーペリアーズ,20,2,6,0,1,0.0,-16.7,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
川満理子,プレステージ・インターナショナルアランマーレ,7,4,16,4,1,25.0,18.8,0,0,0,0,6,0,1,1,20,7,6,,1.0,0.0,0.0,50.0
平岩沙紀,GSS東京サンビームズ,4,50,0,0,0,,,0,0,0,0,0,0,0,0,220,101,60,,0.0,0.0,,59.5
平川里菜,大阪スーペリアーズ,2,9,2,2,0,100.0,100.0,0,0,0,0,21,1,1,3,1,0,0,,0.22,0.0,7.1,0.0
張心穆意,GSS東京サンビームズ,21,44,346,171,11,49.4,46.2,0,0,0,28,166,7,16,62,1,0,1,,3.89,0.64,11.1,50.0
張歓歓,大阪スーペリアーズ,9,38,368,99,22,26.9,20.9,23,3,0,6,136,9,10,44,86,21,23,13.0,2.61,0.16,12.9,37.8
徳田亜留美,ブレス浜松,7,56,0,0,0,,,0,0,0,0,0,0,0,0,331,150,83,,0.0,0.0,,57.9
愛宕諒子,群馬銀行グリーンウイングス,13,12,43,19,2,44.2,39.5,0,0,0,3,9,0,0,4,0,0,0,,1.58,0.25,11.1,
戸澤舞,群馬銀行グリーンウイングス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
戸田さやか,プレステージ・インターナショナルアランマーレ,9,60,177,75,6,42.4,39.0,0,0,0,40,244,18,31,96,12,4,3,,1.25,0.67,14.0,45.8
播磨若奈,ブレス浜松,3,13,4,1,0,25.0,25.0,0,0,0,0,20,1,3,3,0,0,0,,0.08,0.0,5.0,
春田詩織,ブレス浜松,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
有川由季乃,GSS東京サンビームズ,3,55,342,98,21,28.7,22.5,0,0,0,29,156,5,6,38,332,122,82,,1.78,0.53,8.3,49.1
木村友里,プレステージ・インターナショナルアランマーレ,20,27,238,77,7,32.4,29.4,0,0,0,7,112,8,4,31,149,56,43,,2.85,0.26,13.2,52.0
木村汐里,柏エンゼルクロス,13,4,19,4,2,21.1,10.5,0,0,0,0,6,0,0,2,7,4,1,,1.0,0.0,8.3,64.3
末代真歩,柏エンゼルクロス,8,54,336,133,17,39.6,34.5,0,0,0,40,118,4,7,38,3,0,1,,2.46,0.74,10.0,16.7
本間有貴,プレステージ・インターナショナルアランマーレ,18,2,10,1,1,10.0,0.0,0,0,0,1,10,0,1,4,2,2,0,,0.5,0.5,7.5,100.0
村尾葉津樹,GSS東京サンビームズ,2,9,1,0,0,0.0,0.0,0,0,0,0,15,0,0,5,2,0,0,,0.0,0.0,8.3,0.0
松尾由紀子,プレステージ・インターナショナルアランマーレ,6,30,1,1,0,100.0,100.0,0,0,0,1,25,2,2,5,0,0,0,,0.03,0.03,11.0,
松岡樹里,大阪スーペリアーズ,19,7,21,4,3,19.0,4.8,0,0,0,0,16,0,0,1,0,0,0,,0.57,0.0,1.6,
松村美穂,大阪スーペリアーズ,6,22,39,7,0,17.9,17.9,0,0,0,2,20,1,3,8,61,17,12,,0.32,0.09,11.2,37.7
松浦未波,GSS東京サンビームズ,28,53,25,8,0,32.0,32.0,0,0,0,2,226,15,9,75,6,1,1,,0.15,0.04,13.9,25.0
林仁美,大阪スーペリアーズ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
柳沢紫子,プレステージ・インターナショナルアランマーレ,17,60,319,93,21,29.2,22.6,0,0,0,42,176,10,22,57,9,3,3,,1.55,0.7,10.7,50.0
柴小屋志織,ブレス浜松,6,56,316,112,9,35.4,32.6,12,1,1,23,188,8,18,72,13,6,4,8.3,2.0,0.41,11.4,61.5
柿沼杏奈,群馬銀行グリーンウイングス,10,59,383,94,31,24.5,16.4,2,0,0,7,224,15,7,80,394,193,66,0.0,1.59,0.12,14.8,57.4
栗田楓,群馬銀行グリーンウイングス,6,51,25,6,0,24.0,24.0,0,0,0,5,180,13,8,74,0,0,0,,0.12,0.1,16.4,
森寿実子,プレステージ・インターナショナルアランマーレ,11,24,0,0,0,,,0,0,0,0,0,0,0,0,38,18,7,,0.0,0.0,,56.6
楠木舞美子,柏エンゼルクロス,10,32,2,0,1,0.0,-50.0,0,0,0,1,46,2,3,16,0,0,0,,0.0,0.03,11.4,
櫻井樹里,プレステージ・インターナショナルアランマーレ,4,3,8,3,0,37.5,37.5,0,0,0,1,9,0,0,2,6,1,0,,1.0,0.33,5.6,16.7
水上真悠子,ブレス浜松,21,32,292,78,27,26.7,17.5,1,0,0,4,83,2,1,16,83,29,23,0.0,2.44,0.12,6.9,48.8
江川優貴,プレステージ・インターナショナルアランマーレ,16,60,735,246,56,33.5,25.9,119,31,11,15,196,10,46,40,0,0,0,26.1,4.1,0.25,4.3,
浅川希,プレステージ・インターナショナルアランマーレ,15,60,577,178,30,30.8,25.6,3,2,0,6,182,7,14,58,702,298,165,66.7,2.97,0.1,9.9,54.2
